Date Time (ET), Port of Albany D.O. (ppm),Norrie Point D.O. (ppm),Piermont D.O. (ppm), Port of Albany Turbidity in NTU,Norrie Point Turbidity in NTU,Piermont Turbidity in NTU
2011-08-25 00:00:00,7.68,7.81,no data available,4.0,9.3,no data available
2011-08-25 00:15:00,7.6,7.73,,3.9,8.4,
2011-08-25 00:30:00,7.57,7.63,,4.3,7.9,
2011-08-25 00:45:00,7.72,7.67,,4.7,8.1,
2011-08-25 01:00:00,7.74,7.63,,4.4,8.4,
2011-08-25 01:15:00,7.71,7.6,,5.4,8.1,
2011-08-25 01:30:00,7.6,7.57,,3.9,8.9,
2011-08-25 01:45:00,7.66,7.58,,4.1,9.2,
2011-08-25 02:00:00,7.84,7.58,,4.2,8.1,
2011-08-25 02:15:00,7.82,7.59,,4.6,8.4,
2011-08-25 02:30:00,7.82,7.61,,4.1,8.9,
2011-08-25 02:45:00,7.77,7.62,,4.6,9.4,
2011-08-25 03:00:00,7.76,7.6,,5.1,10.9,
2011-08-25 03:15:00,7.78,7.57,,5.8,8.3,
2011-08-25 03:30:00,7.8,7.57,,4.5,10.5,
2011-08-25 03:45:00,7.77,7.55,,4.9,8.7,
2011-08-25 04:00:00,7.73,7.54,,3.1,9.0,
2011-08-25 04:15:00,7.63,7.54,,2.9,8.1,
2011-08-25 04:30:00,7.59,7.47,,4.2,8.1,
2011-08-25 04:45:00,7.82,7.5,,3.5,8.1,
2011-08-25 05:00:00,7.79,7.44,,3.5,8.7,
2011-08-25 05:15:00,7.83,7.51,,3.3,9.0,
2011-08-25 05:30:00,7.81,7.56,,3.3,9.1,
2011-08-25 05:45:00,7.84,7.56,,3.4,9.7,
2011-08-25 06:00:00,7.86,7.54,,3.5,8.3,
2011-08-25 06:15:00,7.86,7.53,,3.4,8.7,
2011-08-25 06:30:00,7.86,7.5,,3.8,8.9,
2011-08-25 06:45:00,7.85,7.54,,3.6,9.2,
2011-08-25 07:00:00,7.87,7.53,,4.0,8.3,
2011-08-25 07:15:00,7.82,7.46,,3.3,8.0,
2011-08-25 07:30:00,7.85,7.57,,3.4,8.0,
2011-08-25 07:45:00,7.9,7.52,,3.8,9.3,
2011-08-25 08:00:00,7.83,7.52,,3.5,8.9,
2011-08-25 08:15:00,7.94,7.51,,3.9,8.9,
2011-08-25 08:30:00,7.97,7.51,,3.7,11.4,
2011-08-25 08:45:00,7.98,7.54,,3.9,8.6,
2011-08-25 09:00:00,7.97,7.58,,3.4,8.7,
2011-08-25 09:15:00,7.93,7.57,,4.7,9.2,
2011-08-25 09:30:00,7.89,7.6,,2.9,8.6,
2011-08-25 09:45:00,8.0,7.57,,3.4,8.1,
2011-08-25 10:00:00,7.94,7.56,,3.7,8.2,
2011-08-25 10:15:00,7.96,7.54,,3.8,8.4,
2011-08-25 10:30:00,7.95,7.54,,3.2,8.7,
2011-08-25 10:45:00,7.96,7.52,,3.9,7.7,
2011-08-25 11:00:00,7.91,7.48,,4.0,7.7,
2011-08-25 11:15:00,7.9,7.43,,3.7,7.8,
2011-08-25 11:30:00,7.79,7.27,,3.5,8.3,
2011-08-25 11:45:00,7.74,7.48,,3.6,9.0,
2011-08-25 12:00:00,7.77,7.57,,4.0,9.2,
2011-08-25 12:15:00,7.79,7.63,,4.2,9.7,
2011-08-25 12:30:00,7.75,7.68,,3.6,8.3,
2011-08-25 12:45:00,7.7,7.7,,3.7,7.6,
2011-08-25 13:00:00,7.75,7.75,,4.0,7.7,
2011-08-25 13:15:00,7.61,7.76,,3.9,7.3,
2011-08-25 13:30:00,7.77,7.72,,4.3,7.6,
2011-08-25 13:45:00,7.78,7.74,,3.4,7.9,
2011-08-25 14:00:00,7.83,7.75,,4.4,9.7,
2011-08-25 14:15:00,7.92,7.77,,4.0,8.3,
2011-08-25 14:30:00,7.95,7.76,,5.4,7.8,
2011-08-25 14:45:00,7.86,7.73,,4.6,9.7,
2011-08-25 15:00:00,7.78,7.77,,4.5,8.3,
2011-08-25 15:15:00,7.62,7.74,,3.4,9.6,
2011-08-25 15:30:00,7.64,7.87,,3.8,8.1,
2011-08-25 15:45:00,7.72,7.83,,4.1,8.2,
2011-08-25 16:00:00,7.72,7.72,,4.4,9.8,
2011-08-25 16:15:00,7.74,7.71,,3.4,8.4,
2011-08-25 16:30:00,7.92,7.71,,3.1,8.6,
2011-08-25 16:45:00,7.76,7.59,,4.0,9.2,
2011-08-25 17:00:00,7.74,7.7,,5.8,9.2,
2011-08-25 17:15:00,7.71,7.81,,4.7,8.4,
2011-08-25 17:30:00,7.62,7.8,,4.4,8.7,
2011-08-25 17:45:00,7.66,7.75,,6.8,9.5,
2011-08-25 18:00:00,7.75,7.95,,4.6,6.9,
2011-08-25 18:15:00,7.76,7.88,,4.2,7.1,
2011-08-25 18:30:00,7.79,7.84,,4.3,7.0,
2011-08-25 18:45:00,7.73,7.83,,4.2,6.8,
2011-08-25 19:00:00,7.7,7.81,,4.6,9.0,
2011-08-25 19:15:00,7.64,7.76,,5.4,10.6,
2011-08-25 19:30:00,7.62,7.72,,6.2,9.5,
2011-08-25 19:45:00,7.53,7.64,,5.0,9.7,
2011-08-25 20:00:00,7.62,7.62,,6.9,12.3,
2011-08-25 20:15:00,7.49,7.61,,5.1,10.5,
2011-08-25 20:30:00,7.58,7.6,,6.6,10.8,
2011-08-25 20:45:00,7.61,7.61,,7.2,8.9,
2011-08-25 21:00:00,7.52,7.6,,6.2,8.7,
2011-08-25 21:15:00,7.6,7.59,,6.1,8.7,
2011-08-25 21:30:00,7.61,7.57,,6.3,8.3,
2011-08-25 21:45:00,7.62,7.56,,6.3,8.3,
2011-08-25 22:00:00,7.67,7.54,,5.8,8.6,
2011-08-25 22:15:00,7.68,7.5,,5.3,8.9,
2011-08-25 22:30:00,7.7,7.48,,5.0,9.4,
2011-08-25 22:45:00,7.68,7.46,,4.6,9.1,
2011-08-25 23:00:00,7.65,7.42,,4.5,10.6,
2011-08-25 23:15:00,7.65,7.27,,4.0,7.5,
2011-08-25 23:30:00,7.54,7.26,,4.4,8.5,
2011-08-25 23:45:00,7.36,7.41,,4.2,8.4,
2011-08-26 00:00:00,7.33,7.35,,3.4,8.4,
2011-08-26 00:15:00,7.55,7.41,,5.1,9.0,
2011-08-26 00:30:00,7.43,7.41,,5.0,8.7,
2011-08-26 00:45:00,7.53,7.45,,5.2,7.5,
2011-08-26 01:00:00,7.47,7.45,,4.9,8.1,
2011-08-26 01:15:00,7.48,7.42,,4.7,7.6,
2011-08-26 01:30:00,7.49,7.38,,5.2,8.9,
2011-08-26 01:45:00,7.51,7.39,,4.5,8.1,
2011-08-26 02:00:00,7.52,7.37,,4.8,8.1,
2011-08-26 02:15:00,7.45,7.36,,5.0,8.6,
2011-08-26 02:30:00,7.58,7.33,,4.4,8.1,
2011-08-26 02:45:00,7.68,7.34,,4.4,8.8,
2011-08-26 03:00:00,7.62,7.34,,5.6,8.5,
2011-08-26 03:15:00,7.42,7.37,,4.9,9.6,
2011-08-26 03:30:00,7.55,7.34,,4.4,9.7,
2011-08-26 03:45:00,7.53,7.38,,5.0,9.7,
2011-08-26 04:00:00,7.62,7.33,,5.8,9.2,
2011-08-26 04:15:00,7.62,7.33,,5.2,8.9,
2011-08-26 04:30:00,7.71,7.32,,6.6,9.5,
2011-08-26 04:45:00,7.67,7.26,,5.6,9.6,
2011-08-26 05:00:00,7.73,7.25,,7.0,10.1,
2011-08-26 05:15:00,7.66,7.2,,5.7,8.9,
2011-08-26 05:30:00,7.75,7.18,,5.8,9.6,
2011-08-26 05:45:00,7.78,7.08,,8.9,9.2,
2011-08-26 06:00:00,7.79,6.75,,8.3,8.7,
2011-08-26 06:15:00,7.78,7.25,,8.6,11.2,
2011-08-26 06:30:00,7.74,7.35,,8.8,10.6,
2011-08-26 06:45:00,7.75,7.36,,8.1,13.5,
2011-08-26 07:00:00,7.74,7.25,,8.1,12.5,
2011-08-26 07:15:00,7.7,7.36,,8.2,12.3,
2011-08-26 07:30:00,7.68,7.39,,8.4,10.9,
2011-08-26 07:45:00,7.62,7.4,,8.2,10.5,
2011-08-26 08:00:00,7.66,7.41,,7.5,10.4,
2011-08-26 08:15:00,7.51,7.42,,7.0,13.6,
2011-08-26 08:30:00,7.58,7.45,,7.0,10.8,
2011-08-26 08:45:00,7.62,7.46,,7.2,11.5,
2011-08-26 09:00:00,7.63,7.42,,8.6,11.2,
2011-08-26 09:15:00,7.55,7.46,,8.1,11.6,
2011-08-26 09:30:00,7.52,7.51,,6.2,10.5,
2011-08-26 09:45:00,7.61,7.5,,6.1,10.0,
2011-08-26 10:00:00,7.6,7.5,,6.1,10.3,
2011-08-26 10:15:00,7.45,7.61,,4.8,11.1,
2011-08-26 10:30:00,7.69,7.64,,5.0,10.4,
2011-08-26 10:45:00,7.64,7.66,,5.6,10.2,
2011-08-26 11:00:00,7.65,7.62,,6.1,10.4,
2011-08-26 11:15:00,7.67,7.71,,6.0,11.9,
2011-08-26 11:30:00,7.64,7.66,,6.1,12.0,
2011-08-26 11:45:00,7.66,7.72,,5.8,11.4,
2011-08-26 12:00:00,7.52,7.53,,5.2,11.7,
2011-08-26 12:15:00,7.36,7.89,,5.6,11.5,
2011-08-26 12:30:00,7.49,7.75,,7.1,12.5,
2011-08-26 12:45:00,7.45,7.68,,6.2,13.2,
2011-08-26 13:00:00,7.35,7.79,,4.1,12.8,
2011-08-26 13:15:00,7.69,7.74,,4.7,12.9,
2011-08-26 13:30:00,7.65,7.65,,4.9,11.9,
2011-08-26 13:45:00,7.52,7.92,,5.6,12.8,
2011-08-26 14:00:00,7.55,7.69,,6.6,12.8,
2011-08-26 14:15:00,7.51,7.9,,5.3,13.3,
2011-08-26 14:30:00,7.53,7.48,,6.3,14.3,
2011-08-26 14:45:00,7.69,7.45,,6.0,20.2,
2011-08-26 15:00:00,7.66,7.43,,5.7,18.4,
2011-08-26 15:15:00,7.59,7.57,,6.8,18.7,
2011-08-26 15:30:00,7.62,7.42,,5.7,19.9,
2011-08-26 15:45:00,7.62,7.45,,5.5,20.6,
2011-08-26 16:00:00,7.67,7.43,,5.2,19.8,
2011-08-26 16:15:00,7.53,7.37,,4.1,23.1,
2011-08-26 16:30:00,7.75,7.51,,4.7,21.2,
2011-08-26 16:45:00,7.56,7.55,,4.4,23.4,
2011-08-26 17:00:00,7.57,7.37,,4.8,21.5,
2011-08-26 17:15:00,7.64,7.47,,4.2,24.8,
2011-08-26 17:30:00,7.51,7.42,,4.6,27.1,
2011-08-26 17:45:00,7.59,7.2,,3.9,23.5,
2011-08-26 18:00:00,7.65,7.4,,4.4,23.0,
2011-08-26 18:15:00,7.42,7.49,,4.0,24.7,
2011-08-26 18:30:00,7.45,7.7,,3.8,19.0,
2011-08-26 18:45:00,7.5,7.47,,4.2,21.6,
2011-08-26 19:00:00,7.59,7.69,,3.9,18.7,
2011-08-26 19:15:00,7.73,7.66,,4.3,20.1,
2011-08-26 19:30:00,7.58,7.69,,3.8,17.8,
2011-08-26 19:45:00,7.62,7.58,,3.9,22.2,
2011-08-26 20:00:00,7.74,7.68,,4.1,27.4,
2011-08-26 20:15:00,7.55,7.66,,3.9,887.0,
2011-08-26 20:30:00,7.18,7.54,,3.2,32.2,
2011-08-26 20:45:00,7.38,7.61,,3.5,100.8,
2011-08-26 21:00:00,7.5,7.76,,3.6,17.2,
2011-08-26 21:15:00,7.38,7.76,,4.8,17.9,
2011-08-26 21:30:00,7.8,7.71,,3.9,19.9,
2011-08-26 21:45:00,7.78,7.55,,4.2,20.1,
2011-08-26 22:00:00,7.94,7.55,,4.2,15.3,
2011-08-26 22:15:00,7.92,7.52,,4.5,15.9,
2011-08-26 22:30:00,7.86,7.51,,5.3,19.1,
2011-08-26 22:45:00,7.92,7.47,,5.2,21.9,
2011-08-26 23:00:00,7.86,7.49,,6.5,20.5,
2011-08-26 23:15:00,7.86,7.59,,5.0,19.1,
2011-08-26 23:30:00,7.74,7.64,,4.6,20.9,
2011-08-26 23:45:00,7.82,7.35,,4.7,26.6,
2011-08-27 00:00:00,7.68,7.21,,4.0,29.7,
2011-08-27 00:15:00,7.79,7.14,,4.5,24.9,
2011-08-27 00:30:00,7.7,7.33,,4.3,66.6,
2011-08-27 00:45:00,7.77,7.42,,5.5,125.0,
2011-08-27 01:00:00,7.81,7.48,,6.4,64.6,
2011-08-27 01:15:00,7.75,7.44,,4.8,37.2,
2011-08-27 01:30:00,7.77,7.48,,5.2,22.1,
2011-08-27 01:45:00,7.68,7.48,,4.3,19.5,
2011-08-27 02:00:00,7.72,7.46,,5.3,19.9,
2011-08-27 02:15:00,7.64,7.45,,4.8,21.3,
2011-08-27 02:30:00,7.72,7.41,,6.6,17.3,
2011-08-27 02:45:00,7.74,7.4,,5.9,24.9,
2011-08-27 03:00:00,7.71,7.37,,5.4,22.4,
2011-08-27 03:15:00,7.74,7.32,,6.1,22.7,
2011-08-27 03:30:00,7.67,7.31,,5.6,22.0,
2011-08-27 03:45:00,7.71,7.33,,5.7,20.1,
2011-08-27 04:00:00,7.66,7.25,,5.0,25.3,
2011-08-27 04:15:00,7.73,7.2,,4.7,22.2,
2011-08-27 04:30:00,7.74,7.28,,4.8,25.4,
2011-08-27 04:45:00,7.8,7.29,,4.4,24.1,
2011-08-27 05:00:00,7.74,7.22,,4.4,23.8,
2011-08-27 05:15:00,7.75,7.28,,5.0,26.4,
2011-08-27 05:30:00,7.72,7.16,,5.1,21.7,
2011-08-27 05:45:00,7.73,7.17,,4.8,22.2,
2011-08-27 06:00:00,7.72,7.15,,5.2,22.7,
2011-08-27 06:15:00,7.72,7.1,,5.5,21.0,
2011-08-27 06:30:00,7.7,7.26,,5.5,24.5,
2011-08-27 06:45:00,7.67,7.22,,5.2,19.7,
2011-08-27 07:00:00,7.74,7.3,,4.9,23.4,
2011-08-27 07:15:00,7.71,7.36,,4.5,27.2,
2011-08-27 07:30:00,7.48,7.38,,4.2,23.0,
2011-08-27 07:45:00,7.68,7.45,,4.7,18.4,
2011-08-27 08:00:00,7.7,7.48,,4.6,18.8,
2011-08-27 08:15:00,7.7,7.27,,4.3,19.0,
2011-08-27 08:30:00,7.71,7.37,,5.0,26.7,
2011-08-27 08:45:00,7.64,7.42,,5.0,525.3,
2011-08-27 09:00:00,7.7,7.47,,5.3,18.2,
2011-08-27 09:15:00,7.73,7.53,,4.4,18.1,
2011-08-27 09:30:00,7.68,7.46,,5.8,18.1,
2011-08-27 09:45:00,7.8,7.48,,6.4,18.6,
2011-08-27 10:00:00,7.82,7.47,,5.2,18.3,
2011-08-27 10:15:00,7.89,7.44,,5.8,16.2,
2011-08-27 10:30:00,7.99,7.48,,4.8,18.0,
2011-08-27 10:45:00,7.97,7.5,,5.1,16.6,
2011-08-27 11:00:00,7.98,7.53,,5.4,24.7,
2011-08-27 11:15:00,8.04,7.56,,4.7,20.0,
2011-08-27 11:30:00,8.06,7.61,,4.0,17.0,
2011-08-27 11:45:00,8.0,7.62,,4.0,20.7,
2011-08-27 12:00:00,7.93,7.62,,4.6,21.6,
2011-08-27 12:15:00,7.97,7.68,,4.3,27.2,
2011-08-27 12:30:00,7.83,7.57,,4.2,67.9,
2011-08-27 12:45:00,7.87,7.51,,3.9,22.6,
2011-08-27 13:00:00,7.81,7.3,,6.0,16.7,
2011-08-27 13:15:00,7.81,7.2,,6.1,22.1,
2011-08-27 13:30:00,7.78,7.5,,6.5,21.1,
2011-08-27 13:45:00,7.73,7.59,,5.1,19.3,
2011-08-27 14:00:00,7.81,7.58,,5.4,20.4,
2011-08-27 14:15:00,7.92,7.64,,5.0,22.7,
2011-08-27 14:30:00,7.87,7.76,,5.0,19.1,
2011-08-27 14:45:00,7.94,7.79,,4.7,19.5,
2011-08-27 15:00:00,7.95,7.69,,4.9,21.3,
2011-08-27 15:15:00,7.9,7.65,,4.6,19.6,
2011-08-27 15:30:00,7.9,7.55,,3.9,23.2,
2011-08-27 15:45:00,7.95,7.65,,4.3,21.7,
2011-08-27 16:00:00,7.91,7.41,,4.1,24.9,
2011-08-27 16:15:00,7.89,7.41,,4.4,26.2,
2011-08-27 16:30:00,8.02,7.42,,3.8,25.6,
2011-08-27 16:45:00,7.97,7.5,,3.9,26.1,
2011-08-27 17:00:00,7.99,7.44,,4.2,24.8,
2011-08-27 17:15:00,8.02,7.39,,4.5,24.6,
2011-08-27 17:30:00,8.09,7.36,,4.3,30.0,
2011-08-27 17:45:00,8.08,7.33,,4.4,27.2,
2011-08-27 18:00:00,8.09,7.2,,4.8,28.9,
2011-08-27 18:15:00,8.12,6.97,,5.1,27.5,
2011-08-27 18:30:00,8.14,7.1,,5.9,29.2,
2011-08-27 18:45:00,8.11,7.28,,5.5,32.4,
2011-08-27 19:00:00,8.09,7.27,,4.9,23.9,
2011-08-27 19:15:00,8.08,7.4,,5.1,23.4,
2011-08-27 19:30:00,8.1,7.37,,4.8,21.9,
2011-08-27 19:45:00,8.07,7.45,,5.1,17.7,
2011-08-27 20:00:00,7.93,7.52,,6.0,16.5,
2011-08-27 20:15:00,7.97,7.58,,3.8,14.2,
2011-08-27 20:30:00,7.99,7.38,,5.4,15.4,
2011-08-27 20:45:00,7.92,7.46,,5.1,20.9,
2011-08-27 21:00:00,7.95,7.43,,5.0,19.7,
2011-08-27 21:15:00,7.97,7.38,,6.5,19.4,
2011-08-27 21:30:00,7.89,7.34,,4.4,21.1,
2011-08-27 21:45:00,7.93,7.34,,4.5,17.2,
2011-08-27 22:00:00,7.87,7.3,,3.6,18.9,
2011-08-27 22:15:00,7.87,7.33,,4.5,16.6,
2011-08-27 22:30:00,7.81,7.32,,3.9,15.9,
2011-08-27 22:45:00,7.93,7.29,,4.4,19.8,
2011-08-27 23:00:00,7.94,7.29,,4.7,18.8,
2011-08-27 23:15:00,7.91,7.28,,4.5,19.3,
2011-08-27 23:30:00,7.9,7.3,,4.1,20.4,
2011-08-27 23:45:00,7.91,7.26,,4.3,22.6,
2011-08-28 00:00:00,7.93,7.29,,4.5,20.5,
2011-08-28 00:15:00,7.9,7.29,,3.6,23.4,
2011-08-28 00:30:00,7.83,7.3,,3.6,21.1,
2011-08-28 00:45:00,7.84,7.18,,4.2,36.5,
2011-08-28 01:00:00,7.82,7.07,,3.9,30.7,
2011-08-28 01:15:00,7.79,7.23,,3.8,37.0,
2011-08-28 01:30:00,7.78,7.23,,3.0,31.7,
2011-08-28 01:45:00,7.77,7.22,,4.1,27.6,
2011-08-28 02:00:00,7.75,7.29,,4.5,32.5,
2011-08-28 02:15:00,7.85,7.29,,3.9,27.5,
2011-08-28 02:30:00,7.83,7.26,,5.4,25.6,
2011-08-28 02:45:00,7.8,7.24,,4.6,28.2,
2011-08-28 03:00:00,7.81,7.3,,5.2,27.6,
2011-08-28 03:15:00,7.88,7.3,,4.5,20.5,
2011-08-28 03:30:00,7.88,7.27,,4.8,22.0,
2011-08-28 03:45:00,7.85,7.29,,4.7,22.2,
2011-08-28 04:00:00,7.82,7.26,,4.7,28.8,
2011-08-28 04:15:00,7.81,7.27,,4.7,24.5,
2011-08-28 04:30:00,7.85,7.27,,4.3,23.0,
2011-08-28 04:45:00,7.82,7.27,,4.7,24.6,
2011-08-28 05:00:00,7.84,7.33,,4.6,24.6,
2011-08-28 05:15:00,7.81,7.34,,5.0,25.0,
2011-08-28 05:30:00,7.79,7.36,,4.8,26.0,
2011-08-28 05:45:00,7.84,7.38,,5.0,30.3,
2011-08-28 06:00:00,7.82,7.35,,5.4,33.2,
2011-08-28 06:15:00,7.8,7.38,,5.1,32.9,
2011-08-28 06:30:00,7.79,7.38,,5.5,29.6,
2011-08-28 06:45:00,7.76,7.39,,5.4,32.4,
2011-08-28 07:00:00,7.77,7.38,,5.6,26.3,
2011-08-28 07:15:00,7.81,7.35,,5.3,32.7,
2011-08-28 07:30:00,7.78,7.32,,5.4,39.0,
2011-08-28 07:45:00,7.77,7.38,,5.2,38.5,
2011-08-28 08:00:00,7.78,7.38,,5.7,25.6,
2011-08-28 08:15:00,7.82,7.37,,6.0,27.5,
2011-08-28 08:30:00,7.74,7.45,,4.9,23.6,
2011-08-28 08:45:00,7.94,7.48,,6.0,20.2,
2011-08-28 09:00:00,7.97,7.47,,6.1,22.2,
2011-08-28 09:15:00,8.0,7.46,,6.7,25.7,
2011-08-28 09:30:00,8.03,7.38,,6.1,24.7,
2011-08-28 09:45:00,7.91,7.38,,6.2,22.9,
2011-08-28 10:00:00,8.07,7.36,,7.0,24.9,
2011-08-28 10:15:00,8.07,7.36,,7.1,25.6,
2011-08-28 10:30:00,8.09,7.37,,7.5,22.8,
2011-08-28 10:45:00,8.16,7.37,,8.3,22.6,
2011-08-28 11:00:00,8.13,7.37,,8.4,26.2,
2011-08-28 11:15:00,8.19,7.33,,9.4,24.5,
2011-08-28 11:30:00,8.21,7.37,,9.8,28.3,
2011-08-28 11:45:00,8.19,7.34,,9.3,29.2,
2011-08-28 12:00:00,8.16,7.34,,9.9,23.2,
2011-08-28 12:15:00,8.17,7.29,,8.3,27.7,
2011-08-28 12:30:00,8.1,7.38,,9.6,29.2,
2011-08-28 12:45:00,8.11,7.36,,9.7,31.9,
2011-08-28 13:00:00,8.13,7.39,,9.3,30.6,
2011-08-28 13:15:00,8.1,7.38,,10.1,32.2,
2011-08-28 13:30:00,8.09,7.3,,10.2,31.7,
2011-08-28 13:45:00,8.04,7.39,,11.2,31.8,
2011-08-28 14:00:00,8.06,7.38,,12.5,39.0,
2011-08-28 14:15:00,8.05,7.44,,14.6,30.6,
2011-08-28 14:30:00,8.05,7.45,,18.4,33.8,
2011-08-28 14:45:00,7.95,7.49,,21.0,28.9,
2011-08-28 15:00:00,8.04,7.57,,30.5,26.1,
2011-08-28 15:15:00,8.06,7.66,,33.6,28.3,
2011-08-28 15:30:00,8.06,7.59,,36.6,30.4,
2011-08-28 15:45:00,8.04,7.53,,31.8,25.5,
2011-08-28 16:00:00,8.03,7.56,,30.2,34.1,
2011-08-28 16:15:00,8.02,7.53,,26.9,34.8,
2011-08-28 16:30:00,8.01,7.52,,25.9,34.9,
2011-08-28 16:45:00,7.99,7.55,,26.6,39.1,
2011-08-28 17:00:00,7.96,7.54,,40.0,38.7,
2011-08-28 17:15:00,7.95,7.53,,46.6,35.3,
2011-08-28 17:30:00,7.93,7.49,,48.6,39.4,
2011-08-28 17:45:00,7.94,7.51,,51.3,38.5,
2011-08-28 18:00:00,7.94,7.55,,50.6,39.9,
2011-08-28 18:15:00,7.93,7.6,,48.9,45.7,
2011-08-28 18:30:00,7.95,7.6,,43.4,54.1,
2011-08-28 18:45:00,7.98,7.66,,43.8,56.1,
2011-08-28 19:00:00,8.02,7.67,,42.2,69.6,
2011-08-28 19:15:00,8.09,7.74,,47.1,68.7,
2011-08-28 19:30:00,8.18,7.77,,55.2,68.5,
2011-08-28 19:45:00,8.25,7.77,,60.0,74.9,
2011-08-28 20:00:00,8.33,7.76,,68.2,67.3,
2011-08-28 20:15:00,8.41,7.76,,76.6,72.5,
2011-08-28 20:30:00,8.45,7.74,,89.8,69.5,
2011-08-28 20:45:00,8.49,7.71,,97.5,62.0,
2011-08-28 21:00:00,8.51,7.69,,105.6,68.7,
2011-08-28 21:15:00,8.54,7.66,,111.8,59.3,
2011-08-28 21:30:00,8.57,7.66,,119.2,65.3,
2011-08-28 21:45:00,8.6,7.53,,137.2,69.0,
2011-08-28 22:00:00,8.61,7.57,,131.3,106.4,
2011-08-28 22:15:00,8.63,7.51,,138.4,76.4,
2011-08-28 22:30:00,8.65,7.47,,138.7,63.8,
2011-08-28 22:45:00,8.67,7.34,,137.2,69.7,
2011-08-28 23:00:00,8.68,7.39,,131.1,70.9,
2011-08-28 23:15:00,8.71,7.49,,138.1,67.4,
2011-08-28 23:30:00,8.71,7.34,,132.6,75.8,
2011-08-28 23:45:00,8.76,7.36,,136.0,90.2,
2011-08-29 00:00:00,8.76,7.43,,138.8,97.6,
2011-08-29 00:15:00,8.77,7.59,,139.7,101.0,
2011-08-29 00:30:00,8.78,7.62,,134.9,119.0,
2011-08-29 00:45:00,8.81,7.55,,146.5,118.9,
2011-08-29 01:00:00,8.81,7.63,,146.3,115.3,
2011-08-29 01:15:00,8.85,7.63,,155.8,115.6,
2011-08-29 01:30:00,8.86,7.73,,160.9,116.4,
2011-08-29 01:45:00,8.89,7.74,,161.5,124.7,
2011-08-29 02:00:00,8.91,7.79,,168.1,133.8,
2011-08-29 02:15:00,8.91,7.74,,175.3,143.9,
2011-08-29 02:30:00,8.93,7.84,,174.1,140.3,
2011-08-29 02:45:00,8.95,7.79,,183.3,138.6,
2011-08-29 03:00:00,8.97,7.82,,200.2,131.6,
2011-08-29 03:15:00,8.99,7.73,,215.0,130.7,
2011-08-29 03:30:00,9.01,7.89,,229.4,132.5,
2011-08-29 03:45:00,9.03,7.89,,247.8,148.9,
2011-08-29 04:00:00,9.04,7.87,,260.8,140.9,
2011-08-29 04:15:00,9.06,7.91,,287.6,150.9,
2011-08-29 04:30:00,9.08,7.87,,296.5,147.2,
2011-08-29 04:45:00,9.1,7.91,,319.5,147.0,
2011-08-29 05:00:00,9.11,7.91,,320.7,157.2,
2011-08-29 05:15:00,9.14,7.94,,332.7,149.9,
2011-08-29 05:30:00,9.16,7.96,,340.4,143.3,
2011-08-29 05:45:00,9.18,7.97,,345.9,156.5,
2011-08-29 06:00:00,9.21,8.03,,354.0,156.9,
2011-08-29 06:15:00,9.22,7.91,,407.4,160.7,
2011-08-29 06:30:00,9.25,7.99,,368.1,204.7,
2011-08-29 06:45:00,9.27,8.01,,379.1,178.7,
2011-08-29 07:00:00,9.29,7.98,,388.8,237.3,
2011-08-29 07:15:00,9.32,7.97,,394.8,237.7,
2011-08-29 07:30:00,9.34,7.89,,410.4,245.6,
2011-08-29 07:45:00,9.37,7.94,,419.1,247.0,
2011-08-29 08:00:00,9.4,7.9,,427.2,279.4,
2011-08-29 08:15:00,9.42,7.8,,438.1,270.8,
2011-08-29 08:30:00,9.44,7.7,,441.2,252.3,
2011-08-29 08:45:00,9.44,7.74,,459.6,296.1,
2011-08-29 09:00:00,9.46,7.59,,463.6,249.4,
2011-08-29 09:15:00,9.47,7.67,,473.2,279.9,
2011-08-29 09:30:00,9.49,7.53,,495.4,276.2,
2011-08-29 09:45:00,9.5,7.83,,522.7,295.0,
2011-08-29 10:00:00,9.52,7.86,,525.0,302.3,
2011-08-29 10:15:00,9.52,7.76,,548.9,281.8,
2011-08-29 10:30:00,9.54,7.87,,561.4,319.6,
2011-08-29 10:45:00,9.55,7.85,,568.6,335.3,
2011-08-29 11:00:00,9.55,7.87,,610.4,342.4,
2011-08-29 11:15:00,9.58,7.84,,668.2,275.0,
2011-08-29 11:30:00,9.57,7.85,,657.0,319.7,
2011-08-29 11:45:00,9.57,7.88,,691.2,315.6,
2011-08-29 12:00:00,9.58,7.88,,767.8,309.0,
2011-08-29 12:15:00,9.57,7.86,,702.2,299.6,
2011-08-29 12:30:00,9.58,7.89,,771.1,301.0,
2011-08-29 12:45:00,9.59,7.85,,798.0,313.6,
2011-08-29 13:00:00,9.59,7.82,,753.8,318.4,
2011-08-29 13:15:00,9.59,7.73,,924.0,432.3,
2011-08-29 13:30:00,9.6,7.76,,878.0,294.4,
2011-08-29 13:45:00,9.6,7.76,,1144.0,278.0,
2011-08-29 14:00:00,9.6,7.79,,992.0,289.4,
2011-08-29 14:15:00,9.6,7.84,,921.0,279.1,
2011-08-29 14:30:00,9.62,7.79,,1077.0,281.0,
2011-08-29 14:45:00,9.62,7.8,,1117.0,278.3,
2011-08-29 15:00:00,9.63,7.86,,1108.0,285.7,
2011-08-29 15:15:00,9.64,7.89,,1156.0,293.6,
2011-08-29 15:30:00,9.64,7.87,,1155.0,280.9,
2011-08-29 15:45:00,9.65,7.85,,1159.0,271.4,
